round;player;action_player;opponent;action_opponent;payoff;time_php;time_js;treatment;session;player_id;context;prev;prev_player;prev_opp
3;s10n5usuario2;D;s10n5usuario8;C;4;308.360.004.425;3060;fix;s10n5;85;CCD;CC;C;C
4;s10n5usuario2;D;s10n5usuario8;C;4;314.449.977.875;3118;fix;s10n5;85;DCD;DC;D;C
5;s10n5usuario2;C;s10n5usuario8;D;0;648.720.002.174;6460;fix;s10n5;85;DCC;DC;D;C
6;s10n5usuario2;C;s10n5usuario8;C;3;462.929.987.907;4601;fix;s10n5;85;CDC;CD;C;D
7;s10n5usuario2;D;s10n5usuario8;C;4;34.861.998.558;3464;fix;s10n5;85;CCD;CC;C;C
8;s10n5usuario2;C;s10n5usuario8;C;3;548.159.980.774;5451;fix;s10n5;85;DCC;DC;D;C
9;s10n5usuario2;C;s10n5usuario8;C;3;54.593.000.412;5427;fix;s10n5;85;CCC;CC;C;C
10;s10n5usuario2;D;s10n5usuario8;C;4;282.820.010.185;2810;fix;s10n5;85;CCD;CC;C;C
11;s10n5usuario2;D;s10n5usuario8;C;4;481.630.015.373;4792;fix;s10n5;85;DCD;DC;D;C
12;s10n5usuario2;C;s10n5usuario8;C;3;363.660.001.755;3609;fix;s10n5;85;DCC;DC;D;C
13;s10n5usuario2;C;s10n5usuario8;C;3;414.760.017.395;4117;fix;s10n5;85;CCC;CC;C;C
14;s10n5usuario2;D;s10n5usuario8;D;1;581.079.983.711;5762;fix;s10n5;85;CCD;CC;C;C
15;s10n5usuario2;D;s10n5usuario8;C;4;378.290.009.499;3754;fix;s10n5;85;DDD;DD;D;D
16;s10n5usuario2;C;s10n5usuario8;C;3;416.809.988.022;4141;fix;s10n5;85;DCC;DC;D;C
17;s10n5usuario2;C;s10n5usuario8;C;3;382.249.999.046;3797;fix;s10n5;85;CCC;CC;C;C
18;s10n5usuario2;D;s10n5usuario8;C;4;752.919.983.864;7505;fix;s10n5;85;CCD;CC;C;C
19;s10n5usuario2;D;s10n5usuario8;C;4;497.460.007.668;4952;fix;s10n5;85;DCD;DC;D;C
20;s10n5usuario2;D;s10n5usuario8;D;1;340.689.992.905;3367;fix;s10n5;85;DCD;DC;D;C
21;s10n5usuario2;C;s10n5usuario8;C;3;291.190.004.349;2887;fix;s10n5;85;DDC;DD;D;D
22;s10n5usuario2;D;s10n5usuario8;C;4;329.700.016.975;3265;fix;s10n5;85;CCD;CC;C;C
23;s10n5usuario2;D;s10n5usuario8;C;4;275.160.002.708;2717;fix;s10n5;85;DCD;DC;D;C
24;s10n5usuario2;C;s10n5usuario8;D;0;268.930.006.027;2664;fix;s10n5;85;DCC;DC;D;C
25;s10n5usuario2;C;s10n5usuario8;D;0;186.619.997.025;1839;fix;s10n5;85;CDC;CD;C;D
26;s10n5usuario2;C;s10n5usuario8;D;0;158.519.983.292;1565;fix;s10n5;85;CDC;CD;C;D
27;s10n5usuario2;D;s10n5usuario8;D;1;194.439.983.368;1919;fix;s10n5;85;CDD;CD;C;D
28;s10n5usuario2;D;s10n5usuario8;C;4;210.659.980.774;2078;fix;s10n5;85;DDD;DD;D;D
29;s10n5usuario2;D;s10n5usuario8;C;4;204.409.980.774;2019;fix;s10n5;85;DCD;DC;D;C
30;s10n5usuario2;C;s10n5usuario8;C;3;166.100.001.335;1630;fix;s10n5;85;DCC;DC;D;C
31;s10n5usuario2;C;s10n5usuario8;C;3;277.369.999.886;2746;fix;s10n5;85;CCC;CC;C;C
32;s10n5usuario2;D;s10n5usuario8;C;4;14.023.001.194;1373;fix;s10n5;85;CCD;CC;C;C
33;s10n5usuario2;D;s10n5usuario8;C;4;174.009.990.692;1711;fix;s10n5;85;DCD;DC;D;C
34;s10n5usuario2;D;s10n5usuario8;C;4;263.030.004.501;2611;fix;s10n5;85;DCD;DC;D;C
35;s10n5usuario2;D;s10n5usuario8;C;4;403.469.991.684;3981;fix;s10n5;85;DCD;DC;D;C
36;s10n5usuario2;D;s10n5usuario8;D;1;497.530.007.362;4944;fix;s10n5;85;DCD;DC;D;C
37;s10n5usuario2;C;s10n5usuario8;D;0;256.200.003.624;2532;fix;s10n5;85;DDC;DD;D;D
